recency,frequency,monetary,cluster,customer_segment,dbscan_cluster
27,72,1132.03,1,VIP Customers,0
3,22,338.81,3,Loyal Customers,0
21,77,1495.92,1,VIP Customers,0
1,62,775.94,3,Loyal Customers,0
36,44,217.53,3,Loyal Customers,0
65,124,2273.68,1,VIP Customers,0
0,15,289.88,3,Loyal Customers,0
4,441,8633.73,1,VIP Customers,0
77,105,1532.2,2,At Risk Customers,0
85,8,175.64,0,Churned Customers,0
16,24,154.48000000000002,3,Loyal Customers,0
2,17,392.75,3,Loyal Customers,0
35,5,82.80000000000001,0,Churned Customers,0
81,6,89.3,0,Churned Customers,0
38,81,1842.84,1,VIP Customers,0
315,7,175.68,0,Churned Customers,0
31,10,221.58,0,Churned Customers,0
92,50,953.73,2,At Risk Customers,0
13,21,350.9,3,Loyal Customers,0
81,260,3218.52,1,VIP Customers,0
76,51,795.12,2,At Risk Customers,0
157,16,255.22,0,Churned Customers,0
200,54,860.12,2,At Risk Customers,0
44,43,1208.99,2,At Risk Customers,0
260,41,688.25,2,At Risk Customers,0
177,18,303.43,2,At Risk Customers,0
67,113,2030.09,2,At Risk Customers,0
287,19,339.5,2,At Risk Customers,0
69,5,186.96,0,Churned Customers,0
63,14,233.76,0,Churned Customers,0
10,15,197.32,3,Loyal Customers,0
15,33,595.17,3,Loyal Customers,0
65,15,323.94,2,At Risk Customers,0
59,23,347.98,2,At Risk Customers,0
70,51,743.53,2,At Risk Customers,0
121,31,572.7,2,At Risk Customers,0
79,39,630.84,2,At Risk Customers,0
256,89,609.4,2,At Risk Customers,0
268,28,389.03,2,At Risk Customers,0
63,22,389.56,2,At Risk Customers,0
8,164,2971.94,1,VIP Customers,0
17,58,892.5,3,Loyal Customers,0
70,10,134.95999999999998,0,Churned Customers,0
33,126,2097.87,1,VIP Customers,0
256,26,478.0,2,At Risk Customers,0
365,13,258.28000000000003,0,Churned Customers,0
371,39,754.87,2,At Risk Customers,0
89,22,328.64,2,At Risk Customers,0
60,150,2780.0,1,VIP Customers,0
88,36,676.65,2,At Risk Customers,0
98,50,869.76,2,At Risk Customers,0
25,97,572.56,3,Loyal Customers,0
31,167,3288.31,1,VIP Customers,0
280,15,222.99,0,Churned Customers,0
30,138,2980.51,1,VIP Customers,0
329,34,484.67,2,At Risk Customers,0
130,33,574.05,2,At Risk Customers,0
10,51,797.96,3,Loyal Customers,0
74,9,185.88,0,Churned Customers,0
1,149,2088.92,1,VIP Customers,0
184,21,307.72,2,At Risk Customers,0
28,35,808.85,3,Loyal Customers,0
72,25,549.84,2,At Risk Customers,0
191,26,457.34,2,At Risk Customers,0
126,37,517.73,2,At Risk Customers,0
17,2,30.0,0,Churned Customers,0
0,10,188.74,3,Loyal Customers,0
73,27,572.451,2,At Risk Customers,0
1,229,5431.0,1,VIP Customers,0
23,16,303.06,3,Loyal Customers,0
106,18,213.55,0,Churned Customers,0
133,20,471.78,2,At Risk Customers,0
43,14,378.3,3,Loyal Customers,0
4,28,640.83,3,Loyal Customers,0
11,277,3967.7,1,VIP Customers,0
63,16,221.06,0,Churned Customers,0
149,8,159.85,0,Churned Customers,0
39,97,1519.91,1,VIP Customers,0
63,121,2292.04,1,VIP Customers,0
107,72,1187.89,2,At Risk Customers,0
0,134,1806.37,1,VIP Customers,0
18,27,456.2,3,Loyal Customers,0
9,71,201.78,3,Loyal Customers,0
10,66,955.8,3,Loyal Customers,0
18,48,628.45,3,Loyal Customers,0
66,40,745.9,2,At Risk Customers,0
73,7,128.64,0,Churned Customers,0
4,69,1006.47,1,VIP Customers,0
1,12,196.89,3,Loyal Customers,0
13,161,2963.91,1,VIP Customers,0
254,54,283.71,2,At Risk Customers,0
91,11,168.32,0,Churned Customers,0
22,56,983.13,3,Loyal Customers,0
16,178,2675.59,1,VIP Customers,0
23,19,291.88,3,Loyal Customers,0
26,57,1183.08,2,At Risk Customers,0
25,433,2898.26,1,VIP Customers,0
165,17,356.98,2,At Risk Customers,0
24,42,842.84,3,Loyal Customers,0
17,55,1016.82,3,Loyal Customers,0
6,341,6813.53,1,VIP Customers,0
28,17,183.44,3,Loyal Customers,0
38,10,329.8,3,Loyal Customers,0
252,9,151.5,0,Churned Customers,0
57,41,674.68,2,At Risk Customers,0
183,17,307.9,0,Churned Customers,0
10,98,1071.91,1,VIP Customers,0
1,292,4968.62,1,VIP Customers,0
98,10,165.0,0,Churned Customers,0
0,253,2456.84,1,VIP Customers,0
60,20,377.64,2,At Risk Customers,0
235,62,226.84,2,At Risk Customers,0
190,85,1355.46,2,At Risk Customers,0
178,56,988.47,2,At Risk Customers,0
37,76,1292.16,2,At Risk Customers,0
200,15,300.95,0,Churned Customers,0
45,109,1804.56,1,VIP Customers,0
231,11,184.64,0,Churned Customers,0
65,10,140.34,0,Churned Customers,0
240,5,111.3,0,Churned Customers,0
232,22,383.44,2,At Risk Customers,0
77,69,1122.41,2,At Risk Customers,0
57,34,575.4,2,At Risk Customers,0
16,398,7249.04,1,VIP Customers,0
104,11,168.48,0,Churned Customers,0
51,86,1215.82,2,At Risk Customers,0
135,44,928.14,2,At Risk Customers,0
286,3,80.35,0,Churned Customers,0
311,18,316.26000000000005,2,At Risk Customers,0
7,34,811.62,3,Loyal Customers,0
10,33,531.53,3,Loyal Customers,0
282,19,348.05,2,At Risk Customers,0
17,37,826.5500000000001,3,Loyal Customers,0
22,65,1166.77,1,VIP Customers,0
287,46,815.72,2,At Risk Customers,0
16,17,232.6,3,Loyal Customers,0
70,17,216.85,0,Churned Customers,0
63,22,295.93,2,At Risk Customers,0
72,208,3446.73,1,VIP Customers,0
315,26,458.52,2,At Risk Customers,0
2,162,2479.16,1,VIP Customers,0
243,12,110.97,0,Churned Customers,0
8,41,746.6800000000001,3,Loyal Customers,0
0,115,1791.56,1,VIP Customers,0
260,15,251.21,0,Churned Customers,0
126,9,145.1,0,Churned Customers,0
73,4,152.20000000000002,0,Churned Customers,0
72,59,891.12,2,At Risk Customers,0
20,39,635.41,3,Loyal Customers,0
59,141,2128.42,1,VIP Customers,0
85,36,627.16,2,At Risk Customers,0
77,8,122.75,0,Churned Customers,0
58,73,1551.35,2,At Risk Customers,0
0,418,1071.73,1,VIP Customers,0
29,5,125.8,0,Churned Customers,0
32,157,2725.64,1,VIP Customers,0
40,27,680.1800000000001,2,At Risk Customers,0
14,1,23.9,0,Churned Customers,0
33,217,2242.36,1,VIP Customers,0
78,13,206.06,0,Churned Customers,0
204,22,483.8,2,At Risk Customers,0
33,66,210.31,3,Loyal Customers,0
182,75,269.09,2,At Risk Customers,0
1,296,5870.08,1,VIP Customers,0
0,167,2667.52,1,VIP Customers,0
120,7,208.65,0,Churned Customers,0
85,37,631.34,2,At Risk Customers,0
39,78,276.06,2,At Risk Customers,0
11,97,621.09,3,Loyal Customers,0
95,122,623.98,2,At Risk Customers,0
25,50,873.2,3,Loyal Customers,0
318,4,91.8,0,Churned Customers,0
65,82,1975.69,2,At Risk Customers,0
73,109,2346.06,2,At Risk Customers,0
27,33,524.06,3,Loyal Customers,0
5,169,594.52,1,VIP Customers,0
6,32,171.42000000000002,3,Loyal Customers,0
215,13,60.26,0,Churned Customers,0
81,78,1586.48,2,At Risk Customers,0
83,44,333.13,2,At Risk Customers,0
353,78,1072.63,2,At Risk Customers,0
18,38,240.22,3,Loyal Customers,0
40,168,809.24,1,VIP Customers,0
172,43,187.05,2,At Risk Customers,0
16,79,338.62,3,Loyal Customers,0
242,27,239.49,2,At Risk Customers,0
12,340,2088.94,1,VIP Customers,0
205,22,539.73,2,At Risk Customers,0
49,25,290.25,2,At Risk Customers,0
22,46,732.0699999999999,3,Loyal Customers,0
9,92,1410.4,1,VIP Customers,0
24,79,1441.9,1,VIP Customers,0
14,22,419.34,3,Loyal Customers,0
308,10,118.0,0,Churned Customers,0
155,53,781.03,2,At Risk Customers,0
306,24,142.4,0,Churned Customers,0
63,5,134.4,0,Churned Customers,0
15,174,2478.95,1,VIP Customers,0
14,21,379.65,3,Loyal Customers,0
10,79,1380.12,1,VIP Customers,0
64,57,1040.63,2,At Risk Customers,0
35,16,247.96,3,Loyal Customers,0
107,124,1854.58,2,At Risk Customers,0
52,26,396.97,2,At Risk Customers,0
5,146,664.11,1,VIP Customers,0
46,35,160.04,3,Loyal Customers,0
0,225,3569.76,1,VIP Customers,0
311,18,174.67000000000002,0,Churned Customers,0
44,99,693.32,2,At Risk Customers,0
64,23,428.89,2,At Risk Customers,0
25,27,164.34,3,Loyal Customers,0
28,40,276.75,3,Loyal Customers,0
39,97,675.51,2,At Risk Customers,0
11,215,1082.33,1,VIP Customers,0
88,71,1093.56,2,At Risk Customers,0
23,194,1534.61,1,VIP Customers,0
318,23,417.69,2,At Risk Customers,0
39,43,486.43,2,At Risk Customers,0
173,13,177.34,0,Churned Customers,0
116,19,213.85,0,Churned Customers,0
30,75,498.46,3,Loyal Customers,0
252,19,257.23,0,Churned Customers,0
58,91,1434.95,2,At Risk Customers,0
142,20,336.36,2,At Risk Customers,0
4,60,932.94,3,Loyal Customers,0
177,1,40.0,0,Churned Customers,0
24,142,1957.65,1,VIP Customers,0
32,185,1496.36,1,VIP Customers,0
67,61,1026.03,2,At Risk Customers,0
36,63,949.12,2,At Risk Customers,0
51,99,804.3,2,At Risk Customers,0
15,8,122.64,3,Loyal Customers,0
73,37,623.12,2,At Risk Customers,0
215,57,312.28,2,At Risk Customers,0
30,28,519.44,3,Loyal Customers,0
15,146,2624.26,1,VIP Customers,0
119,2,50.5,0,Churned Customers,0
9,77,1440.62,1,VIP Customers,0
256,22,263.2,2,At Risk Customers,0
16,93,1656.14,1,VIP Customers,0
34,6,94.2,0,Churned Customers,0
45,63,1095.08,2,At Risk Customers,0
42,164,2603.23,1,VIP Customers,0
113,56,932.97,2,At Risk Customers,0
164,49,379.65,2,At Risk Customers,0
10,13,217.74,3,Loyal Customers,0
9,102,2090.27,1,VIP Customers,0
205,101,1430.8,2,At Risk Customers,0
85,52,881.26,2,At Risk Customers,0
178,13,189.47,0,Churned Customers,0
59,12,84.65,0,Churned Customers,0
148,83,299.05,2,At Risk Customers,0
2,446,4688.37,1,VIP Customers,0
50,9,218.55,0,Churned Customers,0
74,25,349.7,2,At Risk Customers,0
300,5,132.39,0,Churned Customers,0
18,59,337.94,3,Loyal Customers,0
150,25,486.8200000000001,2,At Risk Customers,0
151,16,232.6,0,Churned Customers,0
0,177,1756.18,1,VIP Customers,0
17,57,827.83,3,Loyal Customers,0
186,3,59.5,0,Churned Customers,0
285,29,65.13,0,Churned Customers,0
2,28,20.92,3,Loyal Customers,-1
182,8,72.0,0,Churned Customers,0
62,1,15.0,0,Churned Customers,0
58,8,127.4,0,Churned Customers,0
24,43,612.2,3,Loyal Customers,0
3,126,3292.83,1,VIP Customers,0
30,79,1675.81,1,VIP Customers,0
38,12,151.29999999999998,0,Churned Customers,0
154,14,308.58000000000004,0,Churned Customers,0
25,185,1698.63,1,VIP Customers,0
4,132,2206.06,1,VIP Customers,0
7,25,433.38,3,Loyal Customers,0
302,20,330.79,2,At Risk Customers,0
266,46,701.5600000000001,2,At Risk Customers,0
270,49,285.33,2,At Risk Customers,0
3,325,5332.78,1,VIP Customers,0
31,7,113.28,0,Churned Customers,0
218,13,252.06,0,Churned Customers,0
246,10,228.84,0,Churned Customers,0
280,104,1077.39,2,At Risk Customers,0
268,21,138.28,0,Churned Customers,0
31,102,1445.01,1,VIP Customers,0
245,11,194.95,0,Churned Customers,0
14,59,989.48,3,Loyal Customers,0
116,42,720.7,2,At Risk Customers,0
35,28,524.14,3,Loyal Customers,0
131,69,1393.13,2,At Risk Customers,0
216,4,102.9,0,Churned Customers,0
49,98,1545.56,2,At Risk Customers,0
38,37,473.16,2,At Risk Customers,0
28,19,285.78000000000003,3,Loyal Customers,0
36,63,1016.14,2,At Risk Customers,0
135,43,752.6,2,At Risk Customers,0
218,38,610.59,2,At Risk Customers,0
27,33,491.86,3,Loyal Customers,0
24,188,2476.89,1,VIP Customers,0
4,190,729.8,1,VIP Customers,0
199,29,265.65,2,At Risk Customers,0
17,1,41.7,0,Churned Customers,0
240,23,350.75,2,At Risk Customers,0
71,33,620.73,2,At Risk Customers,0
16,309,2916.72,1,VIP Customers,0
2,36,1028.52,3,Loyal Customers,0
94,63,1080.52,2,At Risk Customers,0
161,25,300.04,2,At Risk Customers,0
95,24,438.25,2,At Risk Customers,0
53,18,306.62,2,At Risk Customers,0
287,7,83.55000000000001,0,Churned Customers,0
123,70,910.38,2,At Risk Customers,0
287,33,606.26,2,At Risk Customers,0
151,10,186.6,0,Churned Customers,0
3,319,2000.96,1,VIP Customers,0
1,107,2376.96,1,VIP Customers,0
11,103,2071.22,1,VIP Customers,0
70,23,402.49,2,At Risk Customers,0
53,57,286.79,2,At Risk Customers,0
49,70,1070.65,2,At Risk Customers,0
218,5,133.2,0,Churned Customers,0
70,207,1519.42,1,VIP Customers,0
1,254,5754.9400000000005,1,VIP Customers,0
1,129,2182.4300000000003,1,VIP Customers,0
63,110,2035.95,1,VIP Customers,0
33,170,953.98,1,VIP Customers,0
81,22,345.0,2,At Risk Customers,0
8,68,1593.5,1,VIP Customers,0
102,9,178.7,0,Churned Customers,0
6,56,274.21,3,Loyal Customers,0
250,17,127.84,0,Churned Customers,0
12,113,908.86,1,VIP Customers,0
9,12,383.31,3,Loyal Customers,0
366,6,148.8,0,Churned Customers,0
75,31,309.04,2,At Risk Customers,0
3,45,348.8,3,Loyal Customers,0
65,13,195.55,0,Churned Customers,0
0,49,633.3299999999999,3,Loyal Customers,0
116,37,592.56,2,At Risk Customers,0
309,32,511.52,2,At Risk Customers,0
66,23,324.8,2,At Risk Customers,0
138,22,317.72,2,At Risk Customers,0
254,17,277.07,0,Churned Customers,0
30,131,2358.73,1,VIP Customers,0
51,7,239.4,0,Churned Customers,0
63,9,190.98,0,Churned Customers,0
366,7,112.6,0,Churned Customers,0
5,69,1253.36,1,VIP Customers,0
304,12,155.05,0,Churned Customers,0
28,27,482.56,3,Loyal Customers,0
183,8,319.5,0,Churned Customers,0
41,36,539.0,2,At Risk Customers,0
39,65,1153.86,2,At Risk Customers,0
91,49,1010.62,2,At Risk Customers,0
21,164,3136.58,1,VIP Customers,0
23,26,464.57,3,Loyal Customers,0
28,24,382.98,3,Loyal Customers,0
301,27,659.95,2,At Risk Customers,0
144,59,385.64,2,At Risk Customers,0
5,95,508.1,3,Loyal Customers,0
18,35,596.4,3,Loyal Customers,0
32,35,776.54,3,Loyal Customers,0
175,10,189.5,0,Churned Customers,0
57,92,409.8,2,At Risk Customers,0
21,15,209.49,3,Loyal Customers,0
15,57,566.15,3,Loyal Customers,0
18,3,52.2,0,Churned Customers,0
158,28,383.85,2,At Risk Customers,0
24,55,834.57,3,Loyal Customers,0
211,17,221.59,0,Churned Customers,0
5,165,674.82,1,VIP Customers,0
58,204,3285.02,1,VIP Customers,0
10,20,361.62,3,Loyal Customers,0
64,7,165.98000000000002,0,Churned Customers,0
24,55,865.0600000000001,3,Loyal Customers,0
51,101,1537.95,2,At Risk Customers,0
128,93,1595.48,2,At Risk Customers,0
95,76,1398.3,2,At Risk Customers,0
56,16,462.9,2,At Risk Customers,0
8,46,962.47,3,Loyal Customers,0
168,11,150.9,0,Churned Customers,0
56,11,216.17,0,Churned Customers,0
325,28,201.16,0,Churned Customers,0
0,76,1245.9,1,VIP Customers,0
17,137,2119.36,1,VIP Customers,0
247,20,305.78,2,At Risk Customers,0
57,30,501.56,2,At Risk Customers,0
73,7,145.67000000000002,0,Churned Customers,0
30,59,941.49,2,At Risk Customers,0
38,31,459.84,3,Loyal Customers,0
122,304,3083.65,1,VIP Customers,0
1,107,1843.94,1,VIP Customers,0
22,324,5762.45,1,VIP Customers,0
119,23,389.6,2,At Risk Customers,0
357,16,280.1,0,Churned Customers,0
53,103,1608.59,2,At Risk Customers,0
63,7,122.7,0,Churned Customers,0
85,2,47.64,0,Churned Customers,0
54,26,662.65,2,At Risk Customers,0
20,160,2970.62,1,VIP Customers,0
66,47,961.28,2,At Risk Customers,0
2,63,1081.28,1,VIP Customers,0
10,140,2578.48,1,VIP Customers,0
6,58,718.3000000000001,3,Loyal Customers,0
188,27,455.8,2,At Risk Customers,0
70,16,243.56,0,Churned Customers,0
203,19,349.55,2,At Risk Customers,0
119,39,595.67,2,At Risk Customers,0
92,12,265.7,0,Churned Customers,0
0,110,1883.81,1,VIP Customers,0
63,24,395.73,2,At Risk Customers,0
297,18,368.1,2,At Risk Customers,0
23,25,443.3,3,Loyal Customers,0
27,112,2091.52,1,VIP Customers,0
49,16,258.06,0,Churned Customers,0
325,12,155.93,0,Churned Customers,0
15,18,337.52,3,Loyal Customers,0
182,42,638.95,2,At Risk Customers,0
71,147,2760.45,1,VIP Customers,0
36,26,332.64,3,Loyal Customers,0
79,116,1960.19,2,At Risk Customers,0
56,144,2238.31,1,VIP Customers,0
11,31,521.15,3,Loyal Customers,0
49,18,272.04,3,Loyal Customers,0
49,25,585.0,2,At Risk Customers,0
58,28,384.81,2,At Risk Customers,0
351,7,172.25,0,Churned Customers,0
53,20,351.13,2,At Risk Customers,0
1,117,1838.85,1,VIP Customers,0
92,41,678.25,2,At Risk Customers,0
22,11,223.85,3,Loyal Customers,0
74,21,348.99,2,At Risk Customers,0
10,27,464.57,3,Loyal Customers,0
168,5,143.25,0,Churned Customers,0
57,17,337.34,2,At Risk Customers,0
95,57,982.53,2,At Risk Customers,0
294,16,307.4,0,Churned Customers,0
108,19,401.19,2,At Risk Customers,0
263,26,572.1,2,At Risk Customers,0
179,26,376.58,2,At Risk Customers,0
168,9,158.85,0,Churned Customers,0
34,7,71.66,0,Churned Customers,0
22,45,568.55,3,Loyal Customers,0
16,49,839.14,3,Loyal Customers,0
21,14,340.32,3,Loyal Customers,0
78,6,64.05,0,Churned Customers,0
64,5,90.6,0,Churned Customers,0
360,2,55.2,0,Churned Customers,0
2,155,2073.17,1,VIP Customers,0
10,31,518.8,3,Loyal Customers,0
175,39,674.45,2,At Risk Customers,0
217,129,2819.021,2,At Risk Customers,0
6,12,222.08,3,Loyal Customers,0
1,25,439.92,3,Loyal Customers,0
153,32,271.96,2,At Risk Customers,0
4,146,970.26,1,VIP Customers,0
78,89,551.54,2,At Risk Customers,0
20,11,159.42000000000002,3,Loyal Customers,0
21,11,169.55,3,Loyal Customers,0
307,34,604.54,2,At Risk Customers,0
145,1,35.7,0,Churned Customers,0
6,591,6543.55,1,VIP Customers,0
18,148,2708.46,1,VIP Customers,0
70,15,190.25,0,Churned Customers,0
286,10,196.7,0,Churned Customers,0
48,28,413.59,2,At Risk Customers,0
30,325,2277.73,1,VIP Customers,0
206,6,109.82,0,Churned Customers,0
14,15,196.79,3,Loyal Customers,0
72,54,869.87,2,At Risk Customers,0
59,10,152.94,0,Churned Customers,0
38,106,1486.01,1,VIP Customers,0
39,98,1315.99,1,VIP Customers,0
26,12,239.63,3,Loyal Customers,0
3,342,6722.42,1,VIP Customers,0
16,12,239.82,3,Loyal Customers,0
19,227,3743.64,1,VIP Customers,0
65,32,524.56,2,At Risk Customers,0
212,16,311.3,0,Churned Customers,0
11,82,852.88,1,VIP Customers,0
29,5,76.8,0,Churned Customers,0
42,107,2179.06,1,VIP Customers,0
3,147,2224.64,1,VIP Customers,0
14,86,1393.69,1,VIP Customers,0
9,198,3316.59,1,VIP Customers,0
210,7,186.36,0,Churned Customers,0
45,24,530.2,2,At Risk Customers,0
133,47,529.73,2,At Risk Customers,0
42,154,3476.5,1,VIP Customers,0
9,64,1104.32,1,VIP Customers,0
115,26,519.55,2,At Risk Customers,0
197,42,695.61,2,At Risk Customers,0
277,11,328.8,0,Churned Customers,0
109,34,473.02,2,At Risk Customers,0
76,39,505.18,2,At Risk Customers,0
52,8,151.5,0,Churned Customers,0
161,143,2584.53,2,At Risk Customers,0
46,61,1040.41,2,At Risk Customers,0
16,39,642.8,3,Loyal Customers,0
154,18,365.5,2,At Risk Customers,0
224,28,440.0,2,At Risk Customers,0
6,30,539.52,3,Loyal Customers,0
121,16,327.7,2,At Risk Customers,0
60,6,104.82,0,Churned Customers,0
62,10,191.46,0,Churned Customers,0
17,238,1797.64,1,VIP Customers,0
6,140,2625.1600000000003,1,VIP Customers,0
15,130,2130.55,1,VIP Customers,0
21,83,456.09,3,Loyal Customers,0
28,58,909.72,2,At Risk Customers,0
284,38,626.65,2,At Risk Customers,0
175,28,147.20000000000002,0,Churned Customers,0
77,92,1560.38,2,At Risk Customers,0
32,5,82.6,0,Churned Customers,0
40,218,2745.2200000000003,1,VIP Customers,0
265,21,141.41,0,Churned Customers,0
26,205,596.47,1,VIP Customers,0
283,14,154.99,0,Churned Customers,0
8,25,517.77,3,Loyal Customers,0
304,85,409.93,2,At Risk Customers,0
16,466,4771.22,1,VIP Customers,0
31,54,746.36,2,At Risk Customers,0
0,83,2235.19,1,VIP Customers,0
19,56,225.36,3,Loyal Customers,0
159,2,41.75,0,Churned Customers,0
64,6,92.46,0,Churned Customers,0
105,6,128.04,0,Churned Customers,0
0,1082,7843.0,1,VIP Customers,0
23,255,4049.12,1,VIP Customers,0
266,7,132.6,0,Churned Customers,0
4,159,2722.54,1,VIP Customers,0
9,34,716.13,3,Loyal Customers,0
28,74,839.9399999999999,2,At Risk Customers,0
266,7,152.55,0,Churned Customers,0
63,52,374.7,2,At Risk Customers,0
319,24,265.85,2,At Risk Customers,0
3,323,1437.57,1,VIP Customers,0
31,13,151.04,0,Churned Customers,0
4,41,808.64,3,Loyal Customers,0
128,44,118.67,0,Churned Customers,0
77,40,366.7,2,At Risk Customers,0
101,59,417.42,2,At Risk Customers,0
124,10,148.9,0,Churned Customers,0
32,4,45.6,0,Churned Customers,0
301,150,921.62,2,At Risk Customers,0
364,29,182.25,0,Churned Customers,0
3,177,1002.9,1,VIP Customers,0
1,444,4231.54,1,VIP Customers,0
2,68,191.47,3,Loyal Customers,0
9,159,4248.2,1,VIP Customers,0
56,13,158.75,0,Churned Customers,0
7,203,3533.76,1,VIP Customers,0
11,100,433.86,3,Loyal Customers,0
3,4948,42436.14,1,VIP Customers,-1
36,20,86.15,0,Churned Customers,0
15,246,2788.89,1,VIP Customers,0
137,25,191.95,0,Churned Customers,0
294,3,28.15,0,Churned Customers,0
4,48,551.18,3,Loyal Customers,0
154,20,131.21,0,Churned Customers,0
238,71,1122.68,2,At Risk Customers,0
51,115,2238.08,1,VIP Customers,0
30,33,538.51,3,Loyal Customers,0
72,9,144.2,0,Churned Customers,0
36,130,2385.07,1,VIP Customers,0
13,4,78.3,0,Churned Customers,0
22,159,2813.15,1,VIP Customers,0
3,27,492.22,3,Loyal Customers,0
273,14,296.83,0,Churned Customers,0
19,70,1243.66,1,VIP Customers,0
143,3,90.0,0,Churned Customers,0
3,155,2544.69,1,VIP Customers,0
83,2,48.08,0,Churned Customers,0
10,165,2672.83,1,VIP Customers,0
10,11,213.35,3,Loyal Customers,0
122,44,709.71,2,At Risk Customers,0
60,46,637.5,2,At Risk Customers,0
1,51,1078.86,3,Loyal Customers,0
318,66,480.91,2,At Risk Customers,0
1,189,2972.99,1,VIP Customers,0
129,28,605.64,2,At Risk Customers,0
1,100,1888.4,1,VIP Customers,0
1,44,815.88,3,Loyal Customers,0
45,25,354.62,2,At Risk Customers,0
3,66,935.05,3,Loyal Customers,0
2,36,701.23,3,Loyal Customers,0
372,22,311.81,2,At Risk Customers,0
133,7,115.8,0,Churned Customers,0
8,203,3377.9,1,VIP Customers,0
77,1,15.0,0,Churned Customers,0
233,2,29.700000000000003,0,Churned Customers,0
220,28,446.62,2,At Risk Customers,0
35,23,370.24,3,Loyal Customers,0
74,49,621.29,2,At Risk Customers,0
238,47,830.52,2,At Risk Customers,0
265,6,118.75,0,Churned Customers,0
9,855,14027.73,1,VIP Customers,0
19,46,424.89,3,Loyal Customers,0
39,41,507.66,2,At Risk Customers,0
19,1174,4579.35,1,VIP Customers,0
215,104,1097.62,2,At Risk Customers,0
173,25,289.36,2,At Risk Customers,0
86,28,485.41,2,At Risk Customers,0
80,17,374.4,2,At Risk Customers,0
275,24,120.44,0,Churned Customers,0
38,50,562.59,2,At Risk Customers,0
97,58,363.79,2,At Risk Customers,0
10,28,315.84000000000003,3,Loyal Customers,0
32,26,134.46,3,Loyal Customers,0
59,140,2731.05,1,VIP Customers,0
296,31,576.9000000000001,2,At Risk Customers,0
85,38,291.66,2,At Risk Customers,0
8,317,1540.86,1,VIP Customers,0
40,157,701.57,2,At Risk Customers,0
10,232,4169.47,1,VIP Customers,0
66,24,452.89,2,At Risk Customers,0
330,2,32.65,0,Churned Customers,0
30,60,1769.96,1,VIP Customers,0
1,255,4076.19,1,VIP Customers,0
1,252,4219.06,1,VIP Customers,0
67,41,779.39,2,At Risk Customers,0
4,557,9878.48,1,VIP Customers,0
251,1,39.8,0,Churned Customers,0
106,4,90.72,0,Churned Customers,0
17,39,701.4,3,Loyal Customers,0
217,1,10.2,0,Churned Customers,0
59,34,566.36,2,At Risk Customers,0
1,39,150.61,3,Loyal Customers,0
16,24,466.7,3,Loyal Customers,0
238,20,328.16,2,At Risk Customers,0
94,10,151.74,0,Churned Customers,0
10,81,1638.13,1,VIP Customers,0
105,101,1854.84,2,At Risk Customers,0
52,109,1971.5,1,VIP Customers,0
30,67,1004.38,2,At Risk Customers,0
11,108,1789.72,1,VIP Customers,0
2,51,926.15,3,Loyal Customers,0
1,96,1707.5,1,VIP Customers,0
42,12,169.48000000000002,0,Churned Customers,0
3,7,89.94,3,Loyal Customers,0
246,17,353.57,2,At Risk Customers,0
41,189,3089.6,1,VIP Customers,0
176,41,683.17,2,At Risk Customers,0
91,60,991.13,2,At Risk Customers,0
109,110,840.38,2,At Risk Customers,0
28,49,870.69,3,Loyal Customers,0
25,173,3229.16,1,VIP Customers,0
51,28,501.4,2,At Risk Customers,0
183,49,845.8100000000001,2,At Risk Customers,0
42,112,1903.17,1,VIP Customers,0
48,25,540.82,2,At Risk Customers,0
21,146,709.12,1,VIP Customers,0
74,54,1001.4,2,At Risk Customers,0
80,13,180.06,0,Churned Customers,0
372,9,161.0,0,Churned Customers,0
325,8,146.85,0,Churned Customers,0
42,107,2089.7000000000003,1,VIP Customers,0
29,40,762.39,3,Loyal Customers,0
183,9,147.3,0,Churned Customers,0
234,16,280.55,0,Churned Customers,0
8,139,2470.57,1,VIP Customers,0
219,108,1693.45,2,At Risk Customers,0
110,75,1474.06,2,At Risk Customers,0
277,20,136.76999999999998,0,Churned Customers,0
317,7,98.58,0,Churned Customers,0
6,111,1904.05,1,VIP Customers,0
1,55,1111.74,1,VIP Customers,0
259,51,879.0600000000001,2,At Risk Customers,0
63,93,1891.02,2,At Risk Customers,0
89,10,278.2,0,Churned Customers,0
141,5,120.0,0,Churned Customers,0
50,48,939.49,2,At Risk Customers,0
7,138,2304.61,1,VIP Customers,0
154,16,286.37,0,Churned Customers,0
108,31,530.18,2,At Risk Customers,0
162,48,1091.94,2,At Risk Customers,0
331,29,492.65,2,At Risk Customers,0
225,10,112.32,0,Churned Customers,0
73,33,437.96,2,At Risk Customers,0
50,29,559.97,2,At Risk Customers,0
98,63,1074.89,2,At Risk Customers,0
14,212,3464.66,1,VIP Customers,0
196,8,134.04,0,Churned Customers,0
2,146,2850.74,1,VIP Customers,0
30,32,595.25,3,Loyal Customers,0
20,13,293.93,3,Loyal Customers,0
23,271,4093.25,1,VIP Customers,0
7,9,176.63,3,Loyal Customers,0
212,13,261.0,0,Churned Customers,0
8,44,728.5600000000001,3,Loyal Customers,0
10,95,1755.99,1,VIP Customers,0
1,235,3703.85,1,VIP Customers,0
7,80,1561.63,1,VIP Customers,0
2,58,909.76,3,Loyal Customers,0
39,3,65.4,0,Churned Customers,0
17,61,1245.33,1,VIP Customers,0
